Sample,units,config,C3pre,C4pre,C5pre,C6pre,C7pre,C8pre,C3post,C4post,C5post,C6post,C7post,C8post,PFOS,C3MDL,C4MDL,C5MDL,C6MDL,C7MDL,C8MDL,PFOSMDL,C3err,C4err,C5err,C6err,C7err,C8err,PFOSerr
MA-FSW  722-M02-01PT,nM,AFFF_impacted_targeted.yaml,0.057887324,0.02,0.015910543,0.01214876,0.033244552,0.008423326,0.057887324,0.026235741,0.03884984,0.01214876,0.033244552,0.008466523,0.144549098,0.057887324,0.022661597,0.034472843,0.005922865,0.003292978,0.001641469,0.003887776,0.1,0.1,0.1,0.1,0.1,0.1,0.1
MA-FSW  722-M02-03RT,nM,AFFF_impacted_targeted.yaml,0.057887324,0.022661597,0.001980831,0.001983471,0.0068523,0.002786177,0.057887324,0.022661597,0.001980831,0.001983471,0.008014528,0.00300216,0.104729459,0.057887324,0.022661597,0.034472843,0.005922865,0.003292978,0.001641469,0.003887776,0.1,0.1,0.1,0.1,0.1,0.1,0.1
MA-FSW  722-M02-05BKT,nM,AFFF_impacted_targeted.yaml,0.057887324,0.007794677,0.012172524,0.010964187,0.040581114,0.007688985,0.057887324,0.007794677,0.03686901,0.011294766,0.041549637,0.00812095,0.075611222,0.057887324,0.022661597,0.034472843,0.005922865,0.003292978,0.001641469,0.003887776,0.1,0.1,0.1,0.1,0.1,0.1,0.1
MA-FSW  722-M01-01PT,nM,AFFF_impacted_targeted.yaml,0.057887324,0.022661597,0.034472843,0.001101928,0.006271186,0.003736501,0.057887324,0.022661597,0.034472843,0.001101928,0.007312349,0.004146868,0.105310621,0.057887324,0.022661597,0.034472843,0.005922865,0.003292978,0.001641469,0.003887776,0.1,0.1,0.1,0.1,0.1,0.1,0.1
MA-FSW  722-M01-06WT,nM,AFFF_impacted_targeted.yaml,0.013051643,0.006996198,0.003833866,0.002396694,0.013196126,0.003261339,0.013051643,0.006996198,0.003833866,0.002396694,0.014309927,0.003261339,0.116252505,0.057887324,0.022661597,0.034472843,0.005922865,0.003292978,0.001641469,0.003887776,0.1,0.1,0.1,0.1,0.1,0.1,0.1
MA-FSW  722-M01-08GY,nM,AFFF_impacted_targeted.yaml,0.016384977,0.045893536,0.053801917,0.01584022,0.037723971,0.006328294,0.041643192,0.060114068,0.096549521,0.01584022,0.040677966,0.006522678,0.091342685,0.057887324,0.022661597,0.034472843,0.005922865,0.003292978,0.001641469,0.003887776,0.1,0.1,0.1,0.1,0.1,0.1,0.1
MA-FSW  722-M01-11GN,nM,AFFF_impacted_targeted.yaml,0.057887324,0.022661597,0.002619808,0.004738292,0.013389831,0.003110151,0.057887324,0.022661597,0.002619808,0.004738292,0.014600484,0.003110151,0.061663327,0.057887324,0.022661597,0.034472843,0.005922865,0.003292978,0.001641469,0.003887776,0.1,0.1,0.1,0.1,0.1,0.1,0.1
MA-FSW  722-M01-15W,nM,AFFF_impacted_targeted.yaml,0.051596244,0.143992395,0.125399361,0.04677686,0.070750605,0.01,0.069389671,0.166425856,0.161821086,0.04677686,0.076004843,0.011015119,0.098196393,0.057887324,0.022661597,0.034472843,0.005922865,0.003292978,0.001641469,0.003887776,0.1,0.1,0.1,0.1,0.1,0.1,0.1
MA-FSW  722-M01-02GNT,nM,AFFF_impacted_targeted.yaml,0.074788732,0.472015209,0.430990415,0.135013774,0.588256659,0.066328294,0.078356808,0.48391635,0.480063898,0.1415427,0.588256659,0.066328294,0.153206413,0.057887324,0.022661597,0.034472843,0.005922865,0.003292978,0.001641469,0.003887776,0.1,0.1,0.1,0.1,0.1,0.1,0.1
MA-FSW  722-M01-08GY,nM,AFFF_impacted_targeted.yaml,0.059061033,0.241939163,0.297699681,0.136831956,0.326973366,0.02937365,0.075539906,0.250076046,0.358817891,0.143002755,0.339975787,0.029805616,0.127174349,0.057887324,0.022661597,0.034472843,0.005922865,0.003292978,0.001641469,0.003887776,0.1,0.1,0.1,0.1,0.1,0.1,0.1
MA-FSW  722-M01-09Y,nM,AFFF_impacted_targeted.yaml,0.052816901,0.212585551,0.265239617,0.12768595,0.313535109,0.028790497,0.064084507,0.221254753,0.312971246,0.12768595,0.31622276,0.028790497,0.121743487,0.057887324,0.022661597,0.034472843,0.005922865,0.003292978,0.001641469,0.003887776,0.1,0.1,0.1,0.1,0.1,0.1,0.1
MA-FSW  722-M01-11GN,nM,AFFF_impacted_targeted.yaml,0.099765258,0.339277567,0.437476038,0.189173554,0.425496368,0.033650108,0.099765258,0.362129278,0.480159744,0.192258953,0.436513317,0.033650108,0.119539078,0.057887324,0.022661597,0.034472843,0.005922865,0.003292978,0.001641469,0.003887776,0.1,0.1,0.1,0.1,0.1,0.1,0.1
MA-FSW  722-M01-12R,nM,AFFF_impacted_targeted.yaml,0.061455399,0.225931559,0.28658147,0.129889807,0.299588378,0.023304536,0.061455399,0.235437262,0.35057508,0.129889807,0.299588378,0.023304536,0.09488978,0.057887324,0.022661597,0.034472843,0.005922865,0.003292978,0.001641469,0.003887776,0.1,0.1,0.1,0.1,0.1,0.1,0.1
MA-FSW  722-M02-01PT,nM,AFFF_impacted_targeted.yaml,0.203098592,0.301444867,0.39884984,0.180192837,0.342929782,0.018056156,0.203098592,0.302357414,0.399488818,0.181873278,0.352493947,0.018315335,0.259859719,0.057887324,0.022661597,0.034472843,0.005922865,0.003292978,0.001641469,0.003887776,0.1,0.1,0.1,0.1,0.1,0.1,0.1
MA-FSW  722-M02-05BKT,nM,AFFF_impacted_targeted.yaml,0.041455399,0.382243346,0.419840256,0.157823691,0.491525424,0.040259179,0.041455399,0.384714829,0.479392971,0.157823691,0.501815981,0.040259179,0.103126253,0.057887324,0.022661597,0.034472843,0.005922865,0.003292978,0.001641469,0.003887776,0.1,0.1,0.1,0.1,0.1,0.1,0.1
MA-FSW  722-M02-08GY,nM,AFFF_impacted_targeted.yaml,0.049201878,0.095285171,0.113897764,0.107465565,0.18590799,0.043542117,0.076713615,0.100304183,0.164536741,0.107465565,0.18590799,0.044082073,0.105531062,0.057887324,0.022661597,0.034472843,0.005922865,0.003292978,0.001641469,0.003887776,0.1,0.1,0.1,0.1,0.1,0.1,0.1
MA-FSW  722-M02-15W,nM,AFFF_impacted_targeted.yaml,0.017042254,0.022661597,0.034472843,0.0015427,0.006803874,0.001576674,0.017042254,0.022661597,0.034472843,0.0015427,0.007845036,0.001425486,0.113406814,0.057887324,0.022661597,0.034472843,0.005922865,0.003292978,0.001641469,0.003887776,0.1,0.1,0.1,0.1,0.1,0.1,0.1
MA-FSW  631-M01-01PT,nM,AFFF_impacted_targeted.yaml,0.094647887,0.352243346,0.395750799,0.110027548,0.175399516,0.047861771,0.191126761,0.384220532,0.476198083,0.116501377,0.185108959,0.049200864,0.557815631,0.057887324,0.022661597,0.034472843,0.005922865,0.003292978,0.001641469,0.003887776,0.1,0.1,0.1,0.1,0.1,0.1,0.1
MA-FSW  631-M01-02GNT,nM,AFFF_impacted_targeted.yaml,0.116995305,0.112889734,0.138338658,0.061763085,0.172276029,0.021684665,0.168779343,0.127186312,0.184313099,0.061763085,0.181210654,0.021857451,0.336773547,0.057887324,0.022661597,0.034472843,0.005922865,0.003292978,0.001641469,0.003887776,0.1,0.1,0.1,0.1,0.1,0.1,0.1
MA-FSW  631-M01-03RT,nM,AFFF_impacted_targeted.yaml,0.064600939,0.022661597,0.003610224,0.00231405,0.007263923,0.002548596,0.109061033,0.022661597,0.05658147,0.00231405,0.009079903,0.002548596,0.298537074,0.057887324,0.022661597,0.034472843,0.005922865,0.003292978,0.001641469,0.003887776,0.1,0.1,0.1,0.1,0.1,0.1,0.1
MA-FSW  631-M01-04BUT,nM,AFFF_impacted_targeted.yaml,0.057887324,0.009201521,0.014376997,0.021763085,0.047433414,0.007516199,0.086197183,0.009201521,0.058690096,0.021763085,0.048087167,0.007516199,0.227214429,0.057887324,0.022661597,0.034472843,0.005922865,0.003292978,0.001641469,0.003887776,0.1,0.1,0.1,0.1,0.1,0.1,0.1
MA-FSW  631-M01-06WT,nM,AFFF_impacted_targeted.yaml,0.057887324,0.022661597,0.034472843,0.005922865,0.002033898,0.001079914,0.057887324,0.022661597,0.035271565,0.005922865,0.003244552,0.001079914,0.072104208,0.057887324,0.022661597,0.034472843,0.005922865,0.003292978,0.001641469,0.003887776,0.1,0.1,0.1,0.1,0.1,0.1,0.1
MA-FSW  631-M01-09Y,nM,AFFF_impacted_targeted.yaml,0.057887324,0.022661597,0.034472843,0.003278237,0.012784504,0.002267819,0.057887324,0.022661597,0.034472843,0.003278237,0.019467312,0.002526998,0.09501002,0.057887324,0.022661597,0.034472843,0.005922865,0.003292978,0.001641469,0.003887776,0.1,0.1,0.1,0.1,0.1,0.1,0.1
MA-FSW  631-M01-12R,nM,AFFF_impacted_targeted.yaml,0.057887324,0.022661597,0.034472843,0.00214876,0.016610169,0.003110151,0.057887324,0.022661597,0.036261981,0.00214876,0.018813559,0.003110151,0.08250501,0.057887324,0.022661597,0.034472843,0.005922865,0.003292978,0.001641469,0.003887776,0.1,0.1,0.1,0.1,0.1,0.1,0.1
